#gene	sample1	sample2	sample3	sample7	sample8	sample9
PLEKHA1	1014	2075	2866	2572	2263	756
ARMS2	5998	5437	1809	2643	1803	3796
HTRA1	838	876	685	653	698	300
DMBT1	783	321	521	333	251	234
C10orf120	984	1082	949	257	1475	556
CUZD1	664	528	470	498	773	822
FAM24B	3102	4202	4995	1282	1129	1410
FAM24A	4780	3764	6371	5722	874	5612
C10orf88	6777	3732	4998	2972	6158	4821
PSTK	15643	4676	3224	7140	10579	14473
IKZF5	2168	2703	1366	2178	2505	1339
ACADSB	1475	1487	3569	4123	2071	2064
HMX3	4002	3366	2085	2218	2332	3264
HMX2	11982	9464	8356	4915	9083	7813
BUB3	96	121	193	105	64	162
GPR26	544	839	404	299	634	1210
CPXM2	4251	5497	6159	3424	2388	3728
CHST15	4552	6184	7684	3321	5677	5021
OAT	2719	3189	5046	2498	4005	5205
NKX1-2	7825	4530	12294	10773	6247	9595
LHPP	2671	4449	3919	2495	1636	2683
RP11-12J10.3	2250	1039	2289	1068	1159	2554
FAM53B	1333	3352	2044	767	2261	2045
METTL10	119	47	38	22	54	30
FAM175B	1297	972	1453	427	1072	1154
ZRANB1	6009	7193	2914	2625	10560	4805
CTBP2	10536	12309	24743	8186	20625	13514
TEX36	1515	1191	921	1987	2054	1796
EDRF1	5153	5867	1297	3008	5880	4096
MMP21	3824	2493	2010	4536	3108	2194
UROS	2742	10642	10243	8780	11708	7703
BCCIP	1172	1354	1535	457	1773	1334
DHX32	6776	6120	8793	4512	4314	10587
FANK1	0	2	0	0	0	0
ADAM12	526	312	1098	572	328	288
C10orf90	824	620	789	516	495	658
DOCK1	798	1025	1560	1214	1487	588
FAM196A	6211	6187	7116	3119	2593	4320
NPS	8564	5028	4630	4948	3390	3628
FOXI2	7458	2425	2834	6195	2824	1941
CLRN3	2301	2792	2534	1711	1601	1386
PTPRE	1529	1239	398	318	755	743
MKI67	1550	1083	1208	1030	1241	1885
MGMT	478	449	1146	712	413	518
EBF3	2600	3977	4209	2400	3889	2090
LINC00959	165	91	34	116	105	83
GLRX3	2983	2492	2202	2378	1478	1836
TCERG1L	715	921	920	194	646	339
PPP2R2D	7703	7002	7727	4169	7274	3137
BNIP3	7356	2503	2297	3761	1876	4648
JAKMIP3	2128	1879	2803	1983	1424	3131
DPYSL4	187	475	288	541	288	506
STK32C	903	1904	1533	671	657	1759
LRRC27	1718	1058	1043	895	1130	480
PWWP2B	715	857	797	737	276	888
INPP5A	5711	12518	7116	5664	3069	4627
NKX6-2	1624	1575	2155	2934	1565	1388
CFAP46	1411	2669	3769	2796	1817	3561
ADGRA1	2057	8630	6257	2150	5635	1167
KNDC1	3442	3696	4606	3914	4729	1726
UTF1	664	743	494	379	174	259
VENTX	180	134	188	74	84	123
ADAM8	1995	1208	974	1082	701	1173
TUBGCP2	7091	13512	13991	8582	9936	7706
ZNF511	393	201	354	182	177	391
ZNF511-PRAP1	7065	3688	3584	3493	5996	2384
CALY	711	765	725	1404	461	727
PRAP1	2637	2129	2411	1233	1645	1157
FUOM	464	1531	454	313	615	612
ECHS1	114	82	84	52	64	36
PAOX	5893	6828	11235	8146	5862	4258
RP11-108K14.8	15626	13778	19134	8403	8278	14685
MTG1	1639	1467	463	710	1026	602
SPRN	14566	12604	7971	10151	8124	10175
CYP2E1	2126	1194	628	1022	1102	844
SYCE1	2734	1890	2068	2201	2218	663
FRG2B	1477	1046	1822	1761	1450	2569
IQSEC3	5755	9409	3658	2980	5655	3074
SLC6A12	1154	859	988	1078	1030	1362
SLC6A13	1261	1795	1158	873	958	1674
KDM5A	808	1199	485	2249	1125	1111
CCDC77	11761	6057	9366	9069	4811	7058
B4GALNT3	3806	2788	9038	4870	3288	3767
NINJ2	2594	3407	4226	2703	2000	1945
WNK1	13781	5010	7149	8232	15128	8223
RAD52	512	205	380	470	437	225
ERC1	6034	6246	2531	4009	6580	1558
WNT5B	2785	3029	4944	4509	3092	3496
FBXL14	2386	2105	1088	2177	998	1324
ADIPOR2	160	64	45	126	90	125
CACNA2D4	3309	1534	5488	2217	1396	1385
LRTM2	5837	9483	11074	10812	3231	7000
DCP1B	2093	2831	2813	1393	1058	1311
CACNA1C	1834	1156	2404	2175	2674	991
FKBP4	1254	774	705	720	1134	1140
ITFG2	5395	6205	6004	6077	5228	3013
NRIP2	6175	1207	5829	2256	4740	1343
RP4-816N1.8	1237	1316	1702	1385	1507	925
FOXM1	229	378	134	199	168	87
RHNO1	393	612	292	978	996	847
TULP3	3269	2415	2603	1530	3970	4537
TEAD4	1667	12494	4309	4639	4869	5078
TSPAN9	2456	1368	1588	3111	3673	2032
PRMT8	141	391	223	84	198	168
CRACR2A	405	118	304	244	169	195
PARP11	316	123	105	138	118	147
CCND2	6077	9432	5759	7873	6834	6314
TIGAR	6499	19965	9179	13506	2969	7487
FGF23	1024	844	926	825	921	1430
FGF6	518	246	731	582	445	618
C12orf4	2793	1506	3346	2974	5344	4188
RAD51AP1	3318	4560	2255	2864	2746	3496
DYRK4	770	1792	1680	1825	1920	919
RP11-500M8.7	758	430	892	925	741	707
AKAP3	193	532	302	220	256	229
NDUFA9	2545	4547	3955	7979	7770	2749
RP11-234B24.6	2419	560	1948	632	936	580
GALNT8	2764	10940	11128	7470	5608	6021
KCNA6	8818	5784	4612	2694	4073	1945
KCNA1	196	373	316	225	275	279
KCNA5	76	116	146	92	67	100
NTF3	2571	4130	2300	1701	2738	1805
ANO2	784	1474	1184	1397	1420	1405
VWF	408	664	529	608	692	518
CD9	2532	1382	1481	2509	2944	1430
PLEKHG6	2277	4130	8942	3120	3482	6051
TNFRSF1A	801	484	709	902	419	834
SCNN1A	822	352	168	272	401	485
LTBR	602	1348	507	900	662	727
CD27	97	71	47	10	126	121
TAPBPL	7119	5408	14206	3347	7914	4176
VAMP1	1270	1487	2473	1262	1654	1333
MRPL51	380	249	304	421	279	228
NCAPD2	356	605	649	453	979	235
GAPDH	157	142	107	79	88	66
IFFO1	4011	6838	5477	4848	7252	7325
NOP2	1387	2529	1115	988	1006	270
CHD4	3390	1970	4797	2876	3605	3074
LPAR5	3516	3224	3241	2971	4522	2551
ACRBP	128	92	115	68	112	109
ING4	4129	8960	5668	8948	5162	4199
ZNF384	2223	1677	1616	1526	1418	1174
PIANP	2974	2095	867	1581	1972	884
COPS7A	7936	7933	7606	15018	7580	11267
MLF2	10040	9994	4337	3583	8699	5916
PTMS	4655	6133	4649	4210	5889	4635
LAG3	625	328	518	740	222	1210
CD4	1468	2119	1526	619	1144	1218
GPR162	4287	4745	3208	3086	2709	1464
P3H3	666	930	839	243	955	400
GNB3	912	1897	1391	1114	1164	1932
CDCA3	727	1121	533	340	806	929
USP5	3701	5093	2836	3350	3529	3521
TPI1	1188	2174	763	1170	1090	1084
SPSB2	1444	1773	3859	2754	1307	2505
LRRC23	1212	2165	1459	2194	1105	2494
ENO2	99	169	280	144	222	130
ATN1	1964	3683	3038	1552	998	2531
C12orf57	2803	2842	3391	1727	1499	6183
PTPN6	525	623	498	460	396	506
PHB2	2314	2565	4403	3076	3599	3074
EMG1	5472	2549	4905	3347	1522	4621
RP3-461F17.3	983	1713	1697	581	1082	547
LPCAT3	2807	4374	3108	1775	1743	3840
C1S	489	436	121	395	164	266
C1R	2578	8552	4261	3393	1201	1111
C1RL	1499	2442	1715	1467	1307	1267
RBP5	907	1677	1107	624	693	880
CLSTN3	3672	2430	3547	1882	2738	802
PEX5	354	200	376	218	121	130
ACSM4	9286	5306	7283	5311	6772	3565
CD163L1	1493	892	687	745	759	1139
CD163	472	752	248	412	512	469
APOBEC1	860	690	497	1208	698	996
GDF3	474	180	425	283	298	167
DPPA3	544	477	537	483	346	570
CLEC4C	5545	4344	2424	3595	2815	5129
NANOGNB	2356	1742	4595	2854	1508	2772
NANOG	687	708	375	418	389	222
SLC2A14	10783	16028	4722	7632	11270	6238
SLC2A3	641	524	959	981	353	958
FOXJ2	1187	594	535	478	287	858
C3AR1	1529	3050	1940	3381	2017	1521
NECAP1	227	186	241	149	208	201
CLEC4A	3703	3857	5010	1221	3100	2777
ZNF705A	2381	3230	3621	2860	2750	1773
FAM90A1	1514	2148	781	1201	842	1072
CLEC6A	14075	14980	9965	4620	16059	7939
CLEC4D	978	2167	1291	2254	1303	2167
CLEC4E	69	82	29	48	46	70
AICDA	1059	1043	401	1103	1469	650
MFAP5	4986	3533	4135	4899	3328	2420
RIMKLB	788	882	1495	2143	2171	1933
A2ML1	1354	675	1599	877	965	1412
PHC1	4166	1666	1837	1943	3233	1054
M6PR	864	378	314	281	618	247
KLRG1	1438	1847	1765	2046	839	1210
A2M	3596	5589	6024	11767	4715	9532
PZP	12135	9503	5704	12684	3892	9129
KLRB1	4023	3456	3425	4250	2004	2305
CLEC2D	5610	4636	4889	5626	5104	3511
CLECL1	3579	4583	5171	3876	3579	4120
CD69	1244	1440	646	1280	767	1938
KLRF1	5556	3407	3794	5180	4900	1933
CLEC2B	3347	3920	1476	3389	1429	959
KLRF2	1365	420	951	433	386	837
CLEC2A	2884	2897	4552	2785	4277	1622
CLEC12A	1309	493	1380	560	1243	875
CLEC1B	901	432	517	371	340	1333
CLEC12B	18279	11390	8936	4163	14111	9825
CLEC9A	133	231	103	143	123	113
CLEC1A	116	70	97	66	66	151
CLEC7A	4741	5441	5467	5242	4020	4021
OLR1	789	1472	884	1463	1310	866
TMEM52B	1694	4570	3835	2997	4207	7400
GABARAPL1	1107	1467	791	1020	1429	820
KLRD1	439	543	250	608	309	180
KLRC4-KLRK1	6478	3206	3757	6015	3761	8883
KLRK1	583	337	905	229	278	508
KLRC4	312	60	382	233	219	209
KLRC3	1048	7978	4725	3270	4106	4911
RP11-277P12.6	1966	1963	2661	1072	1917	1213
KLRC2	6358	3356	1297	1981	2153	2191
KLRC1	5469	12842	3150	2010	4657	4775
EIF2S3L	342	621	271	244	308	155
MAGOHB	2021	1265	1717	2665	1218	2033
STYK1	2777	5750	5276	1463	2882	4046
YBX3	11302	7202	11091	5834	5769	12126
TAS2R7	8000	11661	12331	7159	5529	11012
TAS2R8	886	2844	2619	2769	1683	1689
TAS2R9	18379	10042	23721	7373	6387	3388
PRH1	95	27	70	59	59	115
TAS2R10	1633	2035	1681	1816	1031	868
PRH1-PRR4	2348	3131	5603	4812	4817	5205
PRR4	1101	4470	7957	2027	2983	1686
TAS2R13	913	954	1052	527	734	1171
PRH2	1222	1201	3811	1674	3622	1842
TAS2R14	183	239	402	573	321	432
TAS2R50	332	262	388	207	173	397
TAS2R20	2016	4096	696	3675	3244	2455
TAS2R19	3663	4817	3835	2687	2118	3012
TAS2R31	1319	835	2469	1441	1295	1404
TAS2R46	3625	3843	1265	3478	2671	3719
TAS2R43	1855	1699	1607	2314	1666	1846
TAS2R30	13376	7342	9643	11701	14397	14058
SMIM10L1	3542	1724	3836	2347	1744	2290
TAS2R42	6720	3908	11871	9562	7007	6313
PRB3	4401	3888	4746	1732	1622	2202
PRB4	4305	3239	8077	5410	3961	4432
PRB1	761	1810	1161	492	962	1283
PRB2	4500	4314	2470	2808	4685	7254
ETV6	5055	2984	7855	4907	4956	8064
BCL2L14	1386	1091	2052	1331	945	720
LRP6	28839	8989	9601	17707	10847	17148
MANSC1	1019	288	362	240	174	287
BORCS5	3957	4176	7512	4712	3798	5935
DUSP16	1612	2560	2003	774	2475	3684
CREBL2	5961	2184	3213	3605	2320	2583
GPR19	129	558	630	265	543	344
CDKN1B	150	151	302	225	212	355
APOLD1	5045	4678	4491	2343	2611	2979
DDX47	515	225	218	326	571	353
GPRC5A	6506	7041	6324	2084	4289	4185
GPRC5D	1471	711	724	182	815	413
HEBP1	1641	2100	2383	1467	1730	1349
FAM234B	11481	5522	6512	6140	4376	5685
GSG1	9032	17572	16056	9061	7323	7133
EMP1	5450	17603	5294	8170	15924	11760
GRIN2B	5771	7184	5918	3347	4616	2260
ATF7IP	4725	3754	9336	2520	3963	6132
PLBD1	235	62	161	69	213	153
GUCY2C	10381	2778	5709	4492	2180	7331
HIST4H4	1095	522	664	436	1168	658
H2AFJ	2216	1197	1974	899	2357	1497
WBP11	781	889	1098	1242	853	1036
C12orf60	712	813	1054	810	930	652
SMCO3	515	722	681	376	944	400
ART4	472	693	512	457	692	692
MGP	3449	2571	5757	3202	5118	3125
ERP27	583	472	665	646	529	658
ARHGDIB	3879	3313	2723	4124	2012	2545
PDE6H	125	74	139	113	103	95
RERG	1770	2010	1700	1350	1195	1767
PTPRO	3834	1788	1903	3794	1333	2725
EPS8	1650	3387	3988	3702	6934	923
STRAP	5443	13966	7077	6212	5311	7947
DERA	440	940	719	413	287	907
SLC15A5	2991	2445	5531	4021	5386	3646
MGST1	16066	12061	6088	6748	7238	8124
LMO3	533	204	230	151	203	283
RERGL	2131	4206	2072	2065	1380	2548
PIK3C2G	1532	1206	1631	1985	2279	1372
PLCZ1	1502	2211	2888	2325	1714	1008
CAPZA3	408	872	653	519	515	646
PLEKHA5	12354	5325	6512	5925	5726	4259
AEBP2	478	512	165	351	157	173
PDE3A	1428	1970	841	1092	509	490
SLCO1C1	6525	1669	3482	8238	5085	5822
SLCO1B3	2171	2438	2604	1466	4091	2652
RP11-545J16.1	591	566	994	744	381	539
SLCO1B7	1199	540	1587	1425	802	1155
RP11-125O5.2	2305	5424	5108	4519	5485	5845
SLCO1B1	1028	3355	2204	2129	1279	1330
SLCO1A2	241	317	631	634	508	270
IAPP	3139	4090	2228	3722	1906	2150
PYROXD1	2191	1614	3042	2801	2268	3115
RECQL	1067	1007	1036	1493	251	936
GOLT1B	367	900	589	414	919	815
SPX	424	430	508	461	205	222
GYS2	2749	2804	3281	2197	3258	3741
LDHB	791	639	484	786	463	614
KCNJ8	20451	8269	3809	13004	7003	3390
ABCC9	6234	12953	9420	7992	7754	2156
CMAS	4025	3952	4054	5323	5788	4244
ST8SIA1	827	3080	1517	1361	1004	1168
C2CD5	3542	2051	1730	1950	2358	3245
ETNK1	1075	852	284	381	847	181
SOX5	2410	1857	3040	4171	1257	2072
BCAT1	6789	6646	12045	6586	4360	7020
LRMP	594	483	476	495	622	605
CASC1	2034	2393	1647	1550	2760	1547
LYRM5	15640	4689	2721	7362	5444	6005
KRAS	14365	4295	4171	4222	8148	5139
LMNTD1	3689	15050	8740	6323	15114	4650
RASSF8	256	583	361	245	287	256
BHLHE41	3038	3516	6399	4177	3694	3940
SSPN	3386	973	1579	1849	1800	2493
ITPR2	1333	4298	3476	1299	1083	1274
ASUN	2137	3330	2880	2180	2858	2297
FGFR1OP2	3089	1905	2561	1065	1151	1969
TM7SF3	3214	6967	22201	5811	5845	5900
MED21	912	1445	1024	1074	418	752
C12orf71	511	298	624	696	358	269
STK38L	1166	912	816	925	836	1438
ARNTL2	5362	7778	12465	6793	10825	5254
SMCO2	2178	1430	999	2483	1615	1976
PPFIBP1	2727	2015	2594	2077	2413	2335
REP15	2120	1408	1453	3011	1813	2402
MRPS35	2162	2044	1383	526	1566	978
MANSC4	1041	2042	891	1443	920	582
KLHL42	1700	1389	2392	1716	848	1638
PTHLH	2290	6060	3456	3157	5048	2643
CCDC91	392	714	319	951	877	483
FAR2	833	840	843	518	473	838
ERGIC2	1671	788	810	715	1458	1014
OVCH1	13865	7584	5603	15552	7200	6852
TMTC1	1708	1751	990	1713	1590	1543
IPO8	616	393	338	430	328	410
CAPRIN2	28	128	97	75	35	61
TSPAN11	2646	1931	4378	1758	1763	2870
DDX11	1735	1730	3679	3215	1193	2079
OVOS2	1500	865	852	982	1886	304
FAM60A	6813	7706	4694	4325	4496	1885
DENND5B	3797	3043	3291	2623	2919	1813
ETFBKMT	1508	4031	5217	3134	2550	4591
AMN1	7629	10617	3380	6906	5476	7355
H3F3C	3423	2447	2918	3834	3951	1652
KIAA1551	410	531	331	271	242	144
BICD1	1016	1062	1218	1446	548	594
FGD4	1474	1523	1923	1449	782	805
DNM1L	990	1343	709	780	645	1763
YARS2	6031	2550	5448	6670	3594	4961
PKP2	510	1411	723	1062	1025	1116
SYT10	4498	2406	2659	5343	2639	1909
ALG10	15984	14305	19302	18353	13020	19336
ALG10B	2042	2213	1491	2415	2509	2150
CPNE8	1495	1302	783	1024	692	1499
KIF21A	9765	4834	7079	5253	16111	9009
ABCD2	1816	1990	1713	1672	2217	2188
C12orf40	1070	1321	1193	386	1136	631
SLC2A13	2014	1399	538	1504	1056	1017
LRRK2	7564	12496	8761	11054	6504	7530
CNTN1	3336	916	2391	2734	1803	1332
PDZRN4	1075	872	1261	910	1152	1618
GXYLT1	3224	1788	3075	723	1314	1594
YAF2	16495	2772	5807	7758	7709	13044
PPHLN1	444	715	845	397	677	764
ZCRB1	1300	700	871	1302	1050	1729
PRICKLE1	1206	771	647	503	537	487
ADAMTS20	554	486	173	339	367	419
PUS7L	14873	21795	21921	18071	18954	27227
IRAK4	4121	4171	3639	5899	4930	4145
TWF1	26337	14217	10204	26588	10680	11609
TMEM117	1012	496	524	1002	608	978
NELL2	4955	11165	6273	8026	4691	4576
DBX2	4987	1604	4964	1825	3021	2059
ANO6	0	0	0	0	0	0
ARID2	5487	6859	3614	5349	2550	1363
SCAF11	4235	4825	5907	3899	4115	3108
SLC38A1	92	235	68	111	94	84
SLC38A2	444	680	494	769	219	282
SLC38A4	397	127	331	182	370	158
AMIGO2	821	874	614	404	559	307
PCED1B	3150	3855	5149	5426	3276	2373
RPAP3	7576	9975	5585	14727	12425	10671
ENDOU	3731	2775	6382	3260	3140	2725
RAPGEF3	2783	2242	2507	1774	2822	3248
SLC48A1	632	388	671	479	405	382
HDAC7	11426	8222	11156	6643	8022	3598
VDR	1412	1847	1260	1430	1404	2783
TMEM106C	7385	13301	4732	5437	9387	11205
COL2A1	4955	4330	4169	2861	4546	3109
SENP1	2164	2137	4291	1922	566	2758
PFKM	2698	1697	2089	5853	1230	2470
ASB8	3145	1275	2126	789	1786	1355
CCDC184	516	1335	924	249	1084	952
OR10AD1	846	836	998	746	546	832
H1FNT	680	581	898	760	886	858
ZNF641	167	408	182	276	225	130
ANP32D	8661	4877	5376	2493	3916	1903
C12orf54	304	337	243	137	86	155
OR8S1	1740	1512	2080	244	1376	1302
LALBA	4890	6120	5801	5409	5487	4350
KANSL2	484	544	129	159	214	134
CCNT1	4817	3303	4221	3074	2799	2644
LINC00935	2946	863	1749	1016	729	768
ADCY6	1601	2212	615	370	1065	354
CACNB3	343	401	420	1281	623	861
DDX23	498	338	346	152	270	558
RND1	11525	1576	5965	7440	8528	3871
RP11-302B13.5	411	304	183	301	236	214
CCDC65	8420	5700	4019	3694	763	5395
FKBP11	139	102	44	50	116	94
AC073610.5	1887	2186	1571	1050	1063	2951
ARF3	1344	1435	835	510	1289	659
WNT10B	5803	4988	9481	5504	5564	2673
WNT1	2163	1717	2516	3400	2342	3462
DDN	2178	1375	1291	1322	4579	2729
PRKAG1	4307	7822	3793	4569	4052	7541
KMT2D	2661	1830	1728	1672	1484	2854
RHEBL1	1588	1581	1504	2071	1789	1370
DHH	1409	902	1496	849	1188	1305
LMBR1L	336	185	372	341	232	163
TUBA1B	1485	1396	2780	1886	1356	1848
TUBA1A	1478	1092	1438	549	1620	520
TUBA1C	759	272	973	207	283	1007
PRPH	299	452	493	516	210	354
TROAP	1558	1793	905	1310	1503	494
C1QL4	3161	3521	6924	2047	4022	2440
DNAJC22	4520	5732	7822	3219	1956	4003
SPATS2	545	1912	1654	973	1111	1228
KCNH3	3043	3177	1864	4118	2434	1362
MCRS1	1388	1917	1251	1647	2833	1866
PRPF40B	471	2986	2273	1269	1461	1745
FAM186B	4199	3052	3116	1653	597	2565
FMNL3	714	1445	1364	1585	1807	1470
TMBIM6	677	345	374	332	515	462
NCKAP5L	629	917	531	910	771	784
BCDIN3D	4826	1674	4477	3156	4193	7632
FAIM2	274	746	321	361	716	564
AQP2	254	542	321	541	301	178
AQP5	248	198	355	367	83	249
AQP6	7743	5670	2953	3224	2075	3276
RACGAP1	4283	4762	3782	2422	3217	2408
ASIC1	3091	1228	1355	660	1515	685
SMARCD1	308	489	442	406	234	380
GPD1	282	411	766	579	403	752
COX14	2841	1718	1168	2050	1562	1198
CERS5	2253	5080	3771	2978	1290	2255
LIMA1	452	903	1822	1021	473	608
FAM186A	193	292	245	197	97	149
LARP4	1098	1683	1916	545	1721	833
DIP2B	8128	7205	5162	2490	3167	4693
ATF1	2689	1704	1178	2967	2585	1329
TMPRSS12	12221	8188	5887	8991	9256	11444
METTL7A	1369	1049	1129	664	812	873
HIGD1C	2865	1648	905	1456	2689	1727
SLC11A2	4147	2525	2311	1305	3422	2038
LETMD1	6170	7827	5303	2998	1012	4555
CSRNP2	2971	2814	2896	1180	1227	1330
TFCP2	8579	4927	7257	2954	3784	5066
POU6F1	9673	5948	6319	13100	7400	6726
DAZAP2	14512	13912	16506	6875	10574	6025
SMAGP	1246	4416	1175	1435	986	2114
BIN2	10	25	22	10	25	24
CELA1	402	838	557	528	275	241
GALNT6	93	165	182	97	138	132
SLC4A8	1908	901	4334	1253	1839	1573
SCN8A	2140	1826	1786	1087	2275	2512
ANKRD33	4164	13966	9130	2453	6205	6877
ACVRL1	2890	3729	2247	2256	2490	1926
ACVR1B	1222	1438	871	1073	1256	977
GRASP	2736	1079	422	1225	1866	616
NR4A1	970	2119	2339	2446	1444	1262
ATG101	750	155	237	194	116	100
KRT80	1554	1067	2202	1672	2820	2102
KRT7	1756	1202	1892	1265	796	2013
KRT86	258	290	302	437	368	250
KRT81	2055	1910	884	967	1250	1089
KRT83	7176	736	8378	5672	3813	1927
KRT85	3304	4288	4377	3701	2926	2715
KRT84	3220	9384	9982	2240	6231	5493
KRT82	5342	3748	4227	5321	4037	5744
KRT75	1410	577	566	494	755	1137
KRT6B	829	627	554	392	275	602
KRT6C	4784	6063	6898	3204	2996	6832
KRT6A	16324	12968	17659	5846	4145	8064
KRT5	922	555	903	677	1269	1643
KRT71	812	1698	613	1867	2010	1460
KRT74	1447	2159	2050	1204	1311	958
KRT72	125	313	250	97	116	84
KRT73	11849	12337	11366	9469	4471	6588
KRT2	4980	10048	3447	4782	5185	3159
KRT1	952	714	724	449	692	575
KRT77	1614	988	2302	1848	1046	1571
KRT76	1105	1608	1428	1001	829	1226
KRT3	987	1429	1180	764	1291	1530
KRT4	1794	715	1059	1290	744	1137
KRT79	7769	6958	5780	4316	7813	6501
KRT78	1697	1443	1125	790	570	794
KRT8	2266	2126	2162	1701	1279	1338
KRT18	2413	2825	3136	1608	1457	1138
EIF4B	7	23	12	11	7	9
TNS2	4233	9480	8709	4800	5388	4050
SPRYD3	558	327	824	280	259	336
IGFBP6	1855	2535	2043	943	807	1145
SOAT2	3713	1497	2175	2196	3585	3127
CSAD	4985	2723	2233	2158	2829	3691
ZNF740	2092	1055	1642	2786	2232	1150
ITGB7	2598	1327	1761	1199	1982	642
RARG	6306	5341	9610	4524	4958	3629
RP11-624J6.2	21	12	14	3	6	20
MFSD5	18958	3101	10493	8311	5994	8312
ESPL1	7121	13715	6684	6962	4972	7908
PFDN5	7082	2496	4957	4370	4552	2202
C12orf10	477	835	604	875	309	792
AAAS	24	14	27	39	18	12
SP7	180	240	87	124	154	305
SP1	6040	4873	6680	8000	8107	8505
AMHR2	248	360	175	556	248	164
PRR13	445	327	447	410	171	346
PCBP2	3459	5885	4750	1553	4450	4932
MAP3K12	2410	997	1824	1029	772	1448
TARBP2	936	601	306	323	513	317
RP11-793H13.10	443	265	610	288	201	412
NPFF	10755	11757	8866	13014	7120	9415
ATF7	898	501	1148	470	386	381
ATP5G2	6760	4379	8374	3424	5197	5669
CALCOCO1	13903	4268	19616	12290	8211	6357
HOXC13	764	924	816	245	341	496
HOXC12	1023	1190	1406	1197	2268	2500
HOXC11	1585	1154	1231	2104	787	2846
HOXC10	1621	1388	2426	1227	2720	841
RP11-834C11.12	4553	1431	1391	1335	979	756
HOXC6	1077	813	1157	788	673	365
HOXC9	1456	1201	1249	497	1099	925
HOXC8	386	181	300	246	259	145
HOXC4	988	493	1510	804	636	856
HOXC5	993	694	1116	1574	1025	1174
SMUG1	2169	1270	1746	1470	4299	1909
CBX5	739	702	598	988	493	296
HNRNPA1	1218	810	1451	1117	1254	744
NFE2	960	1620	793	421	760	458
COPZ1	2403	3991	1923	2054	1933	2534
GPR84	456	904	463	238	574	396
ZNF385A	4959	3019	11095	6898	3731	4669
ITGA5	478	1193	1286	945	782	686
GTSF1	1744	803	1020	1160	1233	869
NCKAP1L	252	173	225	106	124	147
PDE1B	2549	1498	1789	1329	1534	404
PPP1R1A	7461	2850	3499	3531	3624	2970
LACRT	931	771	1495	1205	556	623
DCD	437	278	572	356	595	449
MUCL1	1581	2571	3091	1009	1413	908
TESPA1	29274	14382	21341	4538	13441	10746
NEUROD4	270	456	296	539	206	350
OR9K2	4897	8063	4684	6186	5900	3847
OR10A7	566	301	388	355	512	574
OR6C74	4738	1639	2611	7058	2726	5622
OR6C6	4630	5101	6197	6665	4568	7171
OR6C1	339	578	878	439	640	602
OR6C3	71	43	90	35	80	29
OR6C75	1872	4039	5054	2058	2625	751
OR6C65	164	141	192	136	137	57
OR6C76	8081	5655	6253	12260	5373	3887
OR6C2	2484	2565	2619	3234	2175	1441
OR6C70	2150	716	907	458	453	1369
OR6C68	18	13	13	17	18	16
OR6C4	3267	3292	2768	4648	2823	1305
OR2AP1	1989	1288	2089	1511	718	1098
OR10P1	76	86	63	84	45	125
METTL7B	1124	672	1194	1958	785	455
ITGA7	6614	4632	11364	7924	8276	7584
RP11-644F5.10	3837	2688	4201	3880	1779	1704
BLOC1S1	1243	1339	2279	1036	1097	1512
RDH5	7256	2364	4036	6043	5523	1685
CD63	288	338	244	266	615	242
GDF11	10	35	24	23	18	38
SARNP	1183	526	892	1193	1755	687
RP11-762I7.5	526	674	566	654	411	747
ORMDL2	714	493	784	893	674	413
DNAJC14	3090	1080	3747	2369	1181	1012
MMP19	5274	11184	13966	4679	12083	2873
PYM1	1819	2218	4856	2285	4241	2062
DGKA	94	183	156	80	67	72
PMEL	1320	3644	3021	3958	4050	2271
CDK2	451	470	122	306	292	443
RAB5B	2696	3193	1480	3869	3487	1431
SUOX	1940	1513	4277	600	1499	762
IKZF4	1459	2508	1441	1345	1098	1035
RPS26	2824	3495	5559	1690	2417	2528
ERBB3	1475	525	1023	1833	1052	638
RP11-603J24.9	1825	702	1216	1493	1885	702
PA2G4	17839	24271	23779	8976	23080	24818
RPL41	850	915	720	1128	755	926
ZC3H10	1584	1243	1632	770	1619	798
ESYT1	1485	2061	1145	593	1222	1029
MYL6B	7049	5217	2941	2960	5771	2122
MYL6	906	486	832	208	540	577
SMARCC2	388	453	475	453	396	600
RNF41	1183	1928	3051	2512	3371	815
NABP2	5595	6839	4811	9853	3238	6358
SLC39A5	7595	7552	4869	5474	3670	5532
ANKRD52	13791	11286	8751	10209	11513	11899
COQ10A	11	36	33	23	20	13
CS	4149	4817	5519	2300	4315	1760
RP11-977G19.10	4586	7154	7046	3210	3212	2528
CNPY2	1805	3278	5163	3595	1522	2736
PAN2	2032	580	1059	1319	2006	1787
IL23A	1266	1678	1772	547	2686	999
STAT2	177	331	229	210	55	123
APOF	746	718	681	162	507	523
TIMELESS	3417	3345	2028	1012	4116	2295
MIP	2457	3000	2038	2544	3477	4423
SPRYD4	9881	7065	10907	6397	14339	5864
GLS2	931	585	537	256	1117	592
RBMS2	318	466	583	544	183	215
BAZ2A	10522	7783	6533	7639	3631	8533
ATP5B	2398	1079	1842	2148	1691	1353
PTGES3	1284	1725	2869	1762	2764	1761
NACA	1761	1339	2355	2705	1324	1050
PRIM1	1706	1681	1865	2137	834	3171
HSD17B6	1388	1729	1631	1993	3433	1451
SDR9C7	626	501	1169	895	347	456
RDH16	770	1800	964	2338	1137	1386
GPR182	568	369	543	574	481	321
